거리(km),수심(m)
0,-3084.75
2,-3081
4,-2875.5
6,-2887.5
8,-2887.5
10,-2877.75
12,-2861.25
14,-2829.75
16,-2811
18,-2772
20,-2684.25
22,-2784.75
24,-2817.75
26,-2830.5
28,-2828.25
30,-2806.5
32,-2816.25
34,-2752.5
36,-2548.5
38,-2321.25
40,-2253.75
42,-2352.75
44,-2622.75
46,-2733
48,-2755.5
50,-2792.25
52,-2915.25
54,-3018.75
56,-3105.75
58,-3276
60,-3417
62,-3489.75
64,-3370.5
66,-3342
68,-3442.5
70,-3639.75
72,-3523.5
74,-3458.25
76,-3617.25
78,-3678
80,-3670.5
82,-3691.5
84,-3673.5
86,-3604.5
88,-3372
90,-3053.25
92,-2856
94,-2738.25
96,-2601
98,-2306.25
100,-2184
102,-2270.25
104,-2225.25
106,-2096.25
108,-1971
110,-2118
112,-2250
114,-2346.75
116,-2445
118,-2624.25
120,-2781.75
122,-2895
124,-2997
126,-3067.5
128,-3100.5
130,-3093
132,-3058.5
134,-2997.75
136,-2916
138,-2824.5
140,-2751.75
142,-2712
144,-2713.5
146,-2714.25
148,-2751.75
150,-3000
152,-3037.5
154,-2964.75
156,-2926.5
158,-2928
160,-2969.25
162,-3042
164,-3128.25
166,-3199.5
168,-3182.25
170,-2906.25
172,-2815.5
174,-2928.75
176,-3045.75
178,-3117
